"item","identifier","value","test_taker"
"Example_0_Introduction","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.74728000 1459336098\";}","test"
"Example_0_Introduction","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQ4LjcwMzA1N1M=\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.76820500 1459336098\";}","test"
"Example_0_Introduction","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.76850500 1459336098\";}","test"
"Example_0_Introduction","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.76872100 1459336098\";}","test"
"example_1_TAO","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.27473800 1459336118\";}","test"
"example_1_TAO","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxNi4xMjU1NzZT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.33999300 1459336118\";}","test"
"example_1_TAO","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.35533200 1459336118\";}","test"
"example_1_TAO","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.36620800 1459336118\";}","test"
"example_1_TAO","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:4:\"MA==\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.36770800 1459336118\";}","test"
"example_1_TAO","RESPONSE_1","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:4:\"PD4=\";s:10:\"identifier\";s:10:\"RESPONSE_1\";s:11:\"cardinality\";s:7:\"ordered\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.36817100 1459336118\";}","test"
"example_1_TAO","RESPONSE_3","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:8:\"NjgwMDAw\";s:10:\"identifier\";s:10:\"RESPONSE_3\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.36859900 1459336118\";}","test"
"example_2_Math","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.93528200 1459336133\";}","test"
"example_2_Math","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxMi4zNzQ3NzJT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.05514300 1459336134\";}","test"
"example_2_Math","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.05835500 1459336134\";}","test"
"example_2_Math","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.11057500 1459336134\";}","test"
"example_2_Math","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:48:\"PCdjaG9pY2VfMSc7ICdjaG9pY2VfMyc7ICdjaG9pY2VfMic+\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:7:\"ordered\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.11200400 1459336134\";}","test"
"example_2_Math","RESPONSE_1","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:4:\"W10=\";s:10:\"identifier\";s:10:\"RESPONSE_1\";s:11:\"cardinality\";s:8:\"multiple\";s:8:\"baseType\";s:4:\"pair\";s:5:\"epoch\";s:21:\"0.11272200 1459336134\";}","test"
"Example_3_Baudelaire","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.34505500 1459336152\";}","test"
"Example_3_Baudelaire","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxMy40MzI5NDdT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.34937700 1459336152\";}","test"
"Example_3_Baudelaire","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.35164200 1459336152\";}","test"
"Example_3_Baudelaire","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.35216100 1459336152\";}","test"
"Example_3_Baudelaire","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:44:\"W2Nob2ljZV8zIGdhcF8xOyBjaG9pY2VfNCBnYXBfMl0=\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:8:\"multiple\";s:8:\"baseType\";s:12:\"directedPair\";s:5:\"epoch\";s:21:\"0.35239500 1459336152\";}","test"
"Example_4_Appearance","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.17204700 1459336165\";}","test"
"Example_4_Appearance","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxMi43NzY4MzhT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.24526200 1459336165\";}","test"
"Example_4_Appearance","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.24575700 1459336165\";}","test"
"Example_4_Appearance","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.24599600 1459336165\";}","test"
"Example_4_Appearance","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:76:\"W2Nob2ljZV8xIGNob2ljZV81OyBjaG9pY2VfMiBjaG9pY2VfODsgY2hvaWNlXzEgY2hvaWNlXzld\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:8:\"multiple\";s:8:\"baseType\";s:12:\"directedPair\";s:5:\"epoch\";s:21:\"0.24622100 1459336165\";}","test"
"Example_5_picasso","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.23964000 1459336181\";}","test"
"Example_5_picasso","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxMy41NjExMTNT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.30002000 1459336181\";}","test"
"Example_5_picasso","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.30827000 1459336181\";}","test"
"Example_5_picasso","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.31661700 1459336181\";}","test"
"Example_5_picasso","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:12:\"Y2hvaWNlXzI=\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.31693500 1459336181\";}","test"
"Example_5_picasso","RESPONSE_1","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:0:\"\";s:10:\"identifier\";s:10:\"RESPONSE_1\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:6:\"string\";s:5:\"epoch\";s:21:\"0.31720700 1459336181\";}","test"
"Example_5_picasso","RESPONSE_2","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:0:\"\";s:10:\"identifier\";s:10:\"RESPONSE_2\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:6:\"string\";s:5:\"epoch\";s:21:\"0.31747200 1459336181\";}","test"
"Example_5_picasso","RESPONSE_3","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:0:\"\";s:10:\"identifier\";s:10:\"RESPONSE_3\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:4:\"file\";s:5:\"epoch\";s:21:\"0.31774900 1459336181\";}","test"
"Example_6_Geography","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.15944000 1459336195\";}","test"
"Example_6_Geography","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxMS41NDkwNDhT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.21393800 1459336195\";}","test"
"Example_6_Geography","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.21748900 1459336195\";}","test"
"Example_6_Geography","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.21841500 1459336195\";}","test"
"Example_6_Geography","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:0:\"\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"point\";s:5:\"epoch\";s:21:\"0.22028500 1459336195\";}","test"
"Example_7_Geo 2","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.87584700 1459336205\";}","test"
"Example_7_Geo 2","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQ3LjkwMTAwM1M=\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.93777200 1459336205\";}","test"
"Example_7_Geo 2","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.98710400 1459336205\";}","test"
"Example_7_Geo 2","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.98782600 1459336205\";}","test"
"Example_7_Geo 2","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:36:\"Wydob3RzcG90XzUnOyAnaG90c3BvdF80J10=\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:8:\"multiple\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.98814900 1459336205\";}","test"
"Example_8_Geo 3","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.38474800 1459336227\";}","test"
"Example_8_Geo 3","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxOC40OTU2NjhT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.44129600 1459336227\";}","test"
"Example_8_Geo 3","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.44231900 1459336227\";}","test"
"Example_8_Geo 3","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.44279100 1459336227\";}","test"
"Example_8_Geo 3","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:112:\"W2Fzc29jaWFibGVob3RzcG90XzEgYXNzb2NpYWJsZWhvdHNwb3RfMjsgYXNzb2NpYWJsZWhvdHNwb3RfMiBhc3NvY2lhYmxlaG90c3BvdF8zXQ==\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:8:\"multiple\";s:8:\"baseType\";s:4:\"pair\";s:5:\"epoch\";s:21:\"0.46244400 1459336227\";}","test"
